날짜,요일유형,hour,acsr_nm,레코드여부,trf_qnty,판정가능여부,final_stage,final_zero_rate
2026-03-31,평일,02,서촌사거리-북 (남향),없음(NULL),,A형 가능,0,0.0000
2026-03-31,평일,03,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0238
2026-03-31,평일,03,서촌사거리-서 (동향),있음(비0),12,B형 검토,0,0.0000
2026-03-31,평일,03,서촌사거리-북 (남향),있음(비0),3,B형 검토,0,0.0000
2026-03-31,평일,04,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0238
2026-03-31,평일,04,서촌사거리-서 (동향),있음(비0),21,B형 검토,0,0.0000
2026-03-31,평일,04,서촌사거리-북 (남향),있음(비0),19,B형 검토,0,0.0000
2026-03-31,평일,05,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0238
2026-03-31,평일,05,서촌사거리-서 (동향),있음(비0),22,B형 검토,0,0.0000
2026-03-31,평일,05,서촌사거리-북 (남향),있음(비0),28,B형 검토,0,0.0000
2026-03-31,평일,06,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0238
2026-03-31,평일,06,서촌사거리-서 (동향),있음(비0),172,B형 검토,0,0.0000
2026-03-31,평일,06,서촌사거리-북 (남향),있음(비0),54,B형 검토,0,0.0000
2026-03-31,평일,07,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0238
2026-03-31,평일,07,서촌사거리-서 (동향),있음(비0),376,B형 검토,0,0.0000
2026-03-31,평일,07,서촌사거리-북 (남향),있음(비0),59,B형 검토,0,0.0000
2026-03-31,평일,08,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0000
2026-03-31,평일,08,서촌사거리-서 (동향),있음(비0),629,B형 검토,0,0.0000
2026-03-31,평일,08,서촌사거리-북 (남향),있음(비0),123,B형 검토,0,0.0000
2026-03-31,평일,09,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0000
2026-03-31,평일,09,서촌사거리-서 (동향),있음(비0),453,B형 검토,0,0.0000
2026-03-31,평일,09,서촌사거리-북 (남향),있음(비0),141,B형 검토,0,0.0000
2026-03-31,평일,10,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0238
2026-03-31,평일,10,서촌사거리-서 (동향),있음(비0),267,B형 검토,0,0.0238
2026-03-31,평일,10,서촌사거리-북 (남향),있음(비0),155,B형 검토,0,0.0238
2026-03-31,평일,11,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0000
2026-03-31,평일,11,서촌사거리-서 (동향),있음(비0),221,B형 검토,0,0.0000
2026-03-31,평일,11,서촌사거리-북 (남향),있음(비0),164,B형 검토,0,0.0000
2026-03-31,평일,12,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0000
2026-03-31,평일,12,서촌사거리-서 (동향),있음(비0),253,B형 검토,0,0.0000
2026-03-31,평일,12,서촌사거리-북 (남향),있음(비0),173,B형 검토,0,0.0000
2026-03-31,평일,13,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0000
2026-03-31,평일,13,서촌사거리-서 (동향),있음(비0),213,B형 검토,0,0.0000
2026-03-31,평일,13,서촌사거리-북 (남향),있음(비0),159,B형 검토,0,0.0000
2026-03-31,평일,14,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0000
2026-03-31,평일,14,서촌사거리-서 (동향),있음(비0),200,B형 검토,0,0.0000
2026-03-31,평일,14,서촌사거리-북 (남향),있음(비0),149,B형 검토,0,0.0000
2026-03-31,평일,15,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0238
2026-03-31,평일,15,서촌사거리-서 (동향),있음(비0),238,B형 검토,0,0.0238
2026-03-31,평일,15,서촌사거리-북 (남향),있음(비0),127,B형 검토,0,0.0238
2026-03-31,평일,16,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0000
2026-03-31,평일,16,서촌사거리-서 (동향),있음(비0),252,B형 검토,0,0.0000
2026-03-31,평일,16,서촌사거리-북 (남향),있음(비0),172,B형 검토,0,0.0000
2026-03-31,평일,17,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0000
2026-03-31,평일,17,서촌사거리-서 (동향),있음(비0),315,B형 검토,0,0.0000
2026-03-31,평일,17,서촌사거리-북 (남향),있음(비0),180,B형 검토,0,0.0000
2026-03-31,평일,18,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0000
2026-03-31,평일,18,서촌사거리-서 (동향),있음(비0),286,B형 검토,0,0.0000
2026-03-31,평일,18,서촌사거리-북 (남향),있음(비0),187,B형 검토,0,0.0000
2026-03-31,평일,19,서촌사거리-동 (서향),없음(NULL),,A형 가능,0,0.0000
2026-03-31,평일,19,서촌사거리-서 (동향),있음(비0),189,B형 검토,0,0.0000
2026-03-31,평일,19,서촌사거리-북 (남향),있음(비0),137,B형 검토,0,0.0000
