날짜,요일유형,hour,acsr_nm,레코드여부,trf_qnty,판정가능여부,final_stage,final_zero_rate
2026-02-07,토요일,19,멀뫼사거리-북 (남향),있음(비0),656,B형 검토,0,0.0000
2026-02-07,토요일,20,멀뫼사거리-동 (서향),있음(비0),224,B형 검토,0,0.0000
2026-02-07,토요일,20,멀뫼사거리-서 (동향),있음(비0),488,B형 검토,0,0.0000
2026-02-07,토요일,20,멀뫼4R-남 (북향),있음(비0),910,B형 검토,0,0.0000
2026-02-07,토요일,20,멀뫼사거리-북 (남향),있음(비0),657,B형 검토,0,0.0000
2026-02-07,토요일,21,멀뫼사거리-동 (서향),있음(비0),198,B형 검토,0,0.0000
2026-02-07,토요일,21,멀뫼사거리-서 (동향),있음(비0),397,B형 검토,0,0.0000
2026-02-07,토요일,21,멀뫼4R-남 (북향),있음(비0),773,B형 검토,0,0.0000
2026-02-07,토요일,21,멀뫼사거리-북 (남향),있음(비0),542,B형 검토,0,0.0000
2026-02-07,토요일,22,멀뫼사거리-동 (서향),있음(비0),163,B형 검토,0,0.0000
2026-02-07,토요일,22,멀뫼사거리-서 (동향),있음(비0),363,B형 검토,0,0.0000
2026-02-07,토요일,22,멀뫼4R-남 (북향),있음(비0),580,B형 검토,0,0.0000
2026-02-07,토요일,22,멀뫼사거리-북 (남향),있음(비0),405,B형 검토,0,0.0000
2026-02-07,토요일,23,멀뫼사거리-동 (서향),있음(비0),149,B형 검토,0,0.0000
2026-02-07,토요일,23,멀뫼사거리-서 (동향),있음(비0),336,B형 검토,0,0.0000
2026-02-07,토요일,23,멀뫼4R-남 (북향),있음(비0),429,B형 검토,0,0.0000
2026-02-07,토요일,23,멀뫼사거리-북 (남향),있음(비0),272,B형 검토,0,0.0000
2026-02-08,일·공휴일,00,멀뫼사거리-동 (서향),있음(비0),110,B형 검토,0,0.0000
2026-02-08,일·공휴일,00,멀뫼사거리-서 (동향),있음(비0),255,B형 검토,0,0.0000
2026-02-08,일·공휴일,00,멀뫼4R-남 (북향),있음(비0),330,B형 검토,0,0.0000
2026-02-08,일·공휴일,00,멀뫼사거리-북 (남향),있음(비0),203,B형 검토,0,0.0000
2026-02-08,일·공휴일,01,멀뫼사거리-동 (서향),있음(비0),116,B형 검토,0,0.0000
2026-02-08,일·공휴일,01,멀뫼사거리-서 (동향),있음(비0),203,B형 검토,0,0.0000
2026-02-08,일·공휴일,01,멀뫼4R-남 (북향),있음(비0),279,B형 검토,0,0.0000
2026-02-08,일·공휴일,01,멀뫼사거리-북 (남향),있음(비0),133,B형 검토,0,0.0000
2026-02-08,일·공휴일,02,멀뫼사거리-동 (서향),있음(비0),86,B형 검토,0,0.0000
2026-02-08,일·공휴일,02,멀뫼사거리-서 (동향),있음(비0),176,B형 검토,0,0.0000
2026-02-08,일·공휴일,02,멀뫼4R-남 (북향),있음(비0),223,B형 검토,0,0.0000
2026-02-08,일·공휴일,02,멀뫼사거리-북 (남향),있음(비0),103,B형 검토,0,0.0000
2026-02-08,일·공휴일,03,멀뫼사거리-동 (서향),있음(비0),76,B형 검토,0,0.0000
2026-02-08,일·공휴일,03,멀뫼사거리-서 (동향),있음(비0),131,B형 검토,0,0.0000
2026-02-08,일·공휴일,03,멀뫼4R-남 (북향),있음(비0),177,B형 검토,0,0.0000
2026-02-08,일·공휴일,03,멀뫼사거리-북 (남향),있음(비0),98,B형 검토,0,0.0000
2026-02-08,일·공휴일,04,멀뫼사거리-동 (서향),있음(비0),67,B형 검토,0,0.0000
2026-02-08,일·공휴일,04,멀뫼사거리-서 (동향),있음(비0),111,B형 검토,0,0.0000
2026-02-08,일·공휴일,04,멀뫼4R-남 (북향),있음(비0),145,B형 검토,0,0.0000
2026-02-08,일·공휴일,04,멀뫼사거리-북 (남향),있음(비0),116,B형 검토,0,0.0000
2026-02-08,일·공휴일,05,멀뫼사거리-동 (서향),있음(비0),78,B형 검토,0,0.0000
2026-02-08,일·공휴일,05,멀뫼사거리-서 (동향),있음(비0),111,B형 검토,0,0.0000
2026-02-08,일·공휴일,05,멀뫼4R-남 (북향),있음(비0),257,B형 검토,0,0.0000
2026-02-08,일·공휴일,05,멀뫼사거리-북 (남향),있음(비0),160,B형 검토,0,0.0000
2026-02-08,일·공휴일,06,멀뫼사거리-동 (서향),있음(비0),97,B형 검토,0,0.0000
2026-02-08,일·공휴일,06,멀뫼사거리-서 (동향),있음(비0),175,B형 검토,0,0.0000
2026-02-08,일·공휴일,06,멀뫼4R-남 (북향),있음(비0),349,B형 검토,0,0.0000
2026-02-08,일·공휴일,06,멀뫼사거리-북 (남향),있음(비0),241,B형 검토,0,0.0000
2026-02-08,일·공휴일,07,멀뫼사거리-동 (서향),있음(비0),140,B형 검토,0,0.0000
2026-02-08,일·공휴일,07,멀뫼사거리-서 (동향),있음(비0),249,B형 검토,0,0.0000
2026-02-08,일·공휴일,07,멀뫼4R-남 (북향),있음(비0),417,B형 검토,0,0.0000
2026-02-08,일·공휴일,07,멀뫼사거리-북 (남향),있음(비0),283,B형 검토,0,0.0000
2026-02-08,일·공휴일,08,멀뫼사거리-동 (서향),있음(비0),178,B형 검토,0,0.0000
2026-02-08,일·공휴일,08,멀뫼사거리-서 (동향),있음(비0),399,B형 검토,0,0.0000
2026-02-08,일·공휴일,08,멀뫼4R-남 (북향),있음(비0),650,B형 검토,0,0.0000
2026-02-08,일·공휴일,08,멀뫼사거리-북 (남향),있음(비0),463,B형 검토,0,0.0000
2026-02-08,일·공휴일,09,멀뫼사거리-동 (서향),있음(비0),239,B형 검토,0,0.0000
2026-02-08,일·공휴일,09,멀뫼사거리-서 (동향),있음(비0),524,B형 검토,0,0.0000
2026-02-08,일·공휴일,09,멀뫼4R-남 (북향),있음(비0),872,B형 검토,0,0.0000
2026-02-08,일·공휴일,09,멀뫼사거리-북 (남향),있음(비0),652,B형 검토,0,0.0000
2026-02-08,일·공휴일,10,멀뫼사거리-동 (서향),있음(비0),310,B형 검토,0,0.1250
2026-02-08,일·공휴일,10,멀뫼사거리-서 (동향),있음(비0),603,B형 검토,0,0.1250
2026-02-08,일·공휴일,10,멀뫼4R-남 (북향),있음(비0),1154,B형 검토,0,0.1250
2026-02-08,일·공휴일,10,멀뫼사거리-북 (남향),있음(비0),748,B형 검토,0,0.1250
2026-02-08,일·공휴일,11,멀뫼사거리-동 (서향),있음(비0),282,B형 검토,0,0.1250
2026-02-08,일·공휴일,11,멀뫼사거리-서 (동향),있음(비0),598,B형 검토,0,0.1250
2026-02-08,일·공휴일,11,멀뫼4R-남 (북향),있음(비0),1139,B형 검토,0,0.1250
2026-02-08,일·공휴일,11,멀뫼사거리-북 (남향),있음(비0),711,B형 검토,0,0.1250
2026-02-08,일·공휴일,12,멀뫼사거리-동 (서향),있음(비0),325,B형 검토,0,0.0000
2026-02-08,일·공휴일,12,멀뫼사거리-서 (동향),있음(비0),671,B형 검토,0,0.0000
2026-02-08,일·공휴일,12,멀뫼4R-남 (북향),있음(비0),1147,B형 검토,0,0.0000
2026-02-08,일·공휴일,12,멀뫼사거리-북 (남향),있음(비0),799,B형 검토,0,0.0000
2026-02-08,일·공휴일,13,멀뫼사거리-동 (서향),있음(비0),305,B형 검토,0,0.0000
2026-02-08,일·공휴일,13,멀뫼사거리-서 (동향),있음(비0),768,B형 검토,0,0.0000
2026-02-08,일·공휴일,13,멀뫼4R-남 (북향),있음(비0),1212,B형 검토,0,0.0000
2026-02-08,일·공휴일,13,멀뫼사거리-북 (남향),있음(비0),833,B형 검토,0,0.0000
2026-02-08,일·공휴일,14,멀뫼사거리-동 (서향),있음(비0),295,B형 검토,0,0.0000
2026-02-08,일·공휴일,14,멀뫼사거리-서 (동향),있음(비0),732,B형 검토,0,0.0000
2026-02-08,일·공휴일,14,멀뫼4R-남 (북향),있음(비0),1272,B형 검토,0,0.0000
2026-02-08,일·공휴일,14,멀뫼사거리-북 (남향),있음(비0),878,B형 검토,0,0.0000
2026-02-08,일·공휴일,15,멀뫼사거리-동 (서향),있음(비0),316,B형 검토,0,0.0000
2026-02-08,일·공휴일,15,멀뫼사거리-서 (동향),있음(비0),713,B형 검토,0,0.0000
2026-02-08,일·공휴일,15,멀뫼4R-남 (북향),있음(비0),1146,B형 검토,0,0.0000
2026-02-08,일·공휴일,15,멀뫼사거리-북 (남향),있음(비0),861,B형 검토,0,0.0000
2026-02-08,일·공휴일,16,멀뫼사거리-동 (서향),있음(비0),309,B형 검토,0,0.0000
2026-02-08,일·공휴일,16,멀뫼사거리-서 (동향),있음(비0),685,B형 검토,0,0.0000
2026-02-08,일·공휴일,16,멀뫼4R-남 (북향),있음(비0),1201,B형 검토,0,0.0000
2026-02-08,일·공휴일,16,멀뫼사거리-북 (남향),있음(비0),841,B형 검토,0,0.0000
2026-02-08,일·공휴일,17,멀뫼사거리-동 (서향),있음(비0),302,B형 검토,0,0.0000
2026-02-08,일·공휴일,17,멀뫼사거리-서 (동향),있음(비0),614,B형 검토,0,0.0000
2026-02-08,일·공휴일,17,멀뫼4R-남 (북향),있음(비0),1055,B형 검토,0,0.0000
2026-02-08,일·공휴일,17,멀뫼사거리-북 (남향),있음(비0),783,B형 검토,0,0.0000
2026-02-08,일·공휴일,18,멀뫼사거리-동 (서향),있음(비0),234,B형 검토,0,0.0000
2026-02-08,일·공휴일,18,멀뫼사거리-서 (동향),있음(비0),514,B형 검토,0,0.0000
2026-02-08,일·공휴일,18,멀뫼4R-남 (북향),있음(비0),857,B형 검토,0,0.0000
