날짜,요일유형,hour,acsr_nm,레코드여부,trf_qnty,판정가능여부,final_stage,final_zero_rate
2026-01-01,일·공휴일,16,항동중학교입구3R-동(서향),있음(비0),79,B형 검토,2,0.6346
2026-01-01,일·공휴일,17,항동중학교입구3R-남(북향),있음(비0),284,B형 검토,0,0.0000
2026-01-01,일·공휴일,17,항동중학교입구3R-북(남향),있음(비0),44,B형 검토,2,0.6442
2026-01-01,일·공휴일,17,항동중학교입구3R-동(서향),있음(비0),94,B형 검토,2,0.6346
2026-01-01,일·공휴일,18,항동중학교입구3R-남(북향),있음(비0),210,B형 검토,0,0.0000
2026-01-01,일·공휴일,18,항동중학교입구3R-북(남향),있음(비0),37,B형 검토,2,0.6442
2026-01-01,일·공휴일,18,항동중학교입구3R-동(서향),있음(비0),98,B형 검토,2,0.6346
2026-01-01,일·공휴일,19,항동중학교입구3R-남(북향),있음(비0),238,B형 검토,0,0.0000
2026-01-01,일·공휴일,19,항동중학교입구3R-북(남향),있음(비0),35,B형 검토,2,0.6442
2026-01-01,일·공휴일,19,항동중학교입구3R-동(서향),있음(비0),76,B형 검토,2,0.6346
2026-01-01,일·공휴일,20,항동중학교입구3R-남(북향),있음(비0),198,B형 검토,0,0.0000
2026-01-01,일·공휴일,20,항동중학교입구3R-북(남향),있음(비0),30,B형 검토,2,0.6442
2026-01-01,일·공휴일,20,항동중학교입구3R-동(서향),있음(비0),54,B형 검토,2,0.6346
2026-01-01,일·공휴일,21,항동중학교입구3R-남(북향),있음(비0),143,B형 검토,0,0.0000
2026-01-01,일·공휴일,21,항동중학교입구3R-북(남향),있음(비0),29,B형 검토,2,0.6442
2026-01-01,일·공휴일,21,항동중학교입구3R-동(서향),있음(비0),36,B형 검토,2,0.6346
2026-01-01,일·공휴일,22,항동중학교입구3R-남(북향),있음(비0),90,B형 검토,0,0.0000
2026-01-01,일·공휴일,22,항동중학교입구3R-북(남향),있음(비0),26,B형 검토,2,0.6442
2026-01-01,일·공휴일,22,항동중학교입구3R-동(서향),있음(비0),29,B형 검토,2,0.6346
2026-01-01,일·공휴일,23,항동중학교입구3R-남(북향),있음(비0),63,B형 검토,0,0.0000
2026-01-01,일·공휴일,23,항동중학교입구3R-북(남향),있음(비0),14,B형 검토,2,0.6442
2026-01-01,일·공휴일,23,항동중학교입구3R-동(서향),있음(비0),15,B형 검토,2,0.6346
2026-01-02,평일,00,항동중학교입구3R-남(북향),있음(비0),45,B형 검토,0,0.0435
2026-01-02,평일,00,항동중학교입구3R-북(남향),있음(비0),10,B형 검토,1,0.7955
2026-01-02,평일,00,항동중학교입구3R-동(서향),있음(비0),6,B형 검토,1,0.7955
2026-01-02,평일,01,항동중학교입구3R-남(북향),있음(비0),28,B형 검토,0,0.0435
